group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.1413,0.0047,0.0288,0.2538,True
0,2,0.049,0.8677,-0.0744,0.1724,False
0,3,-0.3004,0.0,-0.4098,-0.1911,True
0,4,-0.0011,1.0,-0.1066,0.1045,False
0,5,-0.0125,0.9994,-0.1192,0.0941,False
1,2,-0.0923,0.2531,-0.2138,0.0292,False
1,3,-0.4417,0.0,-0.5489,-0.3346,True
1,4,-0.1424,0.0012,-0.2456,-0.0392,True
1,5,-0.1538,0.0004,-0.2582,-0.0495,True
2,3,-0.3494,0.0,-0.468,-0.2309,True
2,4,-0.0501,0.8161,-0.1652,0.065,False
2,5,-0.0615,0.6563,-0.1776,0.0546,False
3,4,0.2994,0.0,0.1995,0.3992,True
3,5,0.2879,0.0,0.1869,0.3889,True
4,5,-0.0114,0.9994,-0.1083,0.0854,False
