group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.0324,0.4032,-0.0163,0.081,False
0,2,0.0107,0.9929,-0.0427,0.0641,False
0,3,-0.0764,0.0001,-0.1237,-0.0291,True
0,4,0.013,0.9655,-0.0327,0.0586,False
0,5,0.0017,1.0,-0.0445,0.0478,False
1,2,-0.0217,0.8468,-0.0743,0.0308,False
1,3,-0.1088,0.0,-0.1552,-0.0625,True
1,4,-0.0194,0.8175,-0.0641,0.0253,False
1,5,-0.0307,0.3773,-0.0759,0.0144,False
2,3,-0.0871,0.0,-0.1384,-0.0358,True
2,4,0.0023,1.0,-0.0475,0.0521,False
2,5,-0.009,0.9958,-0.0592,0.0412,False
3,4,0.0894,0.0,0.0462,0.1326,True
3,5,0.0781,0.0,0.0344,0.1218,True
4,5,-0.0113,0.9724,-0.0532,0.0306,False
