group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.0728,0.0001,-0.1177,-0.0278,True
0,2,-0.0044,0.9999,-0.0537,0.0449,False
0,3,0.0087,0.9931,-0.035,0.0524,False
0,4,0.0106,0.9796,-0.0315,0.0528,False
0,5,-0.0279,0.4223,-0.0705,0.0147,False
1,2,0.0684,0.0009,0.0198,0.1169,True
1,3,0.0815,0.0,0.0387,0.1243,True
1,4,0.0834,0.0,0.0422,0.1247,True
1,5,0.0449,0.0264,0.0032,0.0866,True
2,3,0.0131,0.9697,-0.0343,0.0605,False
2,4,0.015,0.9381,-0.031,0.061,False
2,5,-0.0235,0.6989,-0.0699,0.0229,False
3,4,0.002,1.0,-0.0379,0.0418,False
3,5,-0.0366,0.1012,-0.0769,0.0038,False
4,5,-0.0385,0.0518,-0.0772,0.0002,False
