group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.1278,0.0,-0.1846,-0.0709,True
0,2,-0.0594,0.073,-0.1218,0.003,False
0,3,-0.0221,0.8636,-0.0774,0.0332,False
0,4,-0.0159,0.9582,-0.0692,0.0375,False
0,5,-0.0502,0.0854,-0.1041,0.0038,False
1,2,0.0684,0.019,0.007,0.1298,True
1,3,0.1056,0.0,0.0514,0.1598,True
1,4,0.1119,0.0,0.0597,0.1641,True
1,5,0.0776,0.0004,0.0248,0.1304,True
2,3,0.0372,0.4841,-0.0227,0.0972,False
2,4,0.0435,0.2708,-0.0147,0.1017,False
2,5,0.0092,0.9977,-0.0495,0.0679,False
3,4,0.0063,0.9993,-0.0442,0.0567,False
3,5,-0.028,0.6213,-0.0791,0.023,False
4,5,-0.0343,0.3443,-0.0833,0.0147,False
